hand,1_win,2_win,3_win,4_win,5_win,6_win,7_win,8_win,9_win,1_tie,2_tie,3_tie,4_tie,5_tie,6_tie,7_tie,8_tie,9_tie
AAo,0.8493351936340332,0.732083261013031,0.6360993981361389,0.5564618706703186,0.4896424412727356,0.4331477880477905,0.3850662112236023,0.343962162733078,0.30871763825416565,0.002714598085731268,0.0022983932867646217,0.0022280702833086252,0.002232254482805729,0.0022444825153797865,0.002240456873551011,0.0022221701219677925,0.0021859940607100725,0.0021364958956837654
AKs,0.6622280478477478,0.4983755946159363,0.4053168296813965,0.34511157870292664,0.30177322030067444,0.2681705951690674,0.24078722298145294,0.2178315669298172,0.19826123118400574,0.008248092606663704,0.008863196708261967,0.008954075165092945,0.008912910707294941,0.008854891173541546,0.0087997205555439,0.008748427964746952,0.008695702068507671,0.00862930715084076
AQs,0.6531481742858887,0.48415887355804443,0.3882044553756714,0.32655826210975647,0.2827785611152649,0.24944648146629333,0.2228260040283203,0.20094281435012817,0.18264098465442657,0.008944985456764698,0.010003522038459778,0.010324421338737011,0.01038137637078762,0.01033720187842846,0.010246296413242817,0.010120482183992863,0.009967846795916557,0.009792628698050976
AJs,0.6439904570579529,0.47061339020729065,0.37278109788894653,0.3105872571468353,0.26701804995536804,0.23431764543056488,0.2086205929517746,0.18780125677585602,0.17065301537513733,0.009953322820365429,0.011357614770531654,0.011772314086556435,0.011839466169476509,0.011776326224207878,0.011643861420452595,0.01146246213465929,0.011241918429732323,0.010983550921082497
ATs,0.6349000334739685,0.45788222551345825,0.3589692711830139,0.29686638712882996,0.25390708446502686,0.22207465767860413,0.19733621180057526,0.17751412093639374,0.16133852303028107,0.011137356050312519,0.01281609758734703,0.013231086544692516,0.01324897725135088,0.013147254474461079,0.012982345186173916,0.012764311395585537,0.01250117365270853,0.012189943343400955
A9s,0.6150855422019958,0.43108931183815,0.33059561252593994,0.2691122889518738,0.22757799923419952,0.19745488464832306,0.17447541654109955,0.1563691943883896,0.14179633557796478,0.012715619057416916,0.014419861137866974,0.014472788199782372,0.014109428972005844,0.013687617145478725,0.013262597844004631,0.012829584069550037,0.012386222369968891,0.0119166886433959
A8s,0.6051072478294373,0.4189857244491577,0.3187122642993927,0.2579517364501953,0.21730028092861176,0.18806511163711548,0.16595081984996796,0.14867189526557922,0.1348741054534912,0.01435580849647522,0.016150105744600296,0.016040893271565437,0.015523530542850494,0.01496834959834814,0.014429394155740738,0.013886937871575356,0.013324800878763199,0.012738902121782303
A7s,0.5938359498977661,0.4062325060367584,0.3068106174468994,0.2473563849925995,0.2079947292804718,0.1799100935459137,0.1588066667318344,0.14240233600139618,0.12936942279338837,0.01597115397453308,0.017609937116503716,0.017234036698937416,0.016545996069908142,0.01589388959109783,0.015287734568119049,0.014681399799883366,0.014057829044759274,0.013406980782747269
A6s,0.5818098187446594,0.3930526673793793,0.2950049638748169,0.23734651505947113,0.19963708519935608,0.1729613095521927,0.15303783118724823,0.13760939240455627,0.1253664791584015,0.017266588285565376,0.01857239194214344,0.0178877841681242,0.017055178061127663,0.01635574921965599,0.015739139169454575,0.015132787637412548,0.014499545097351074,0.013834107667207718
A5s,0.5806291699409485,0.39458855986595154,0.29851073026657104,0.24188074469566345,0.20461302995681763,0.17802946269512177,0.15801316499710083,0.1423954963684082,0.12991106510162354,0.018582867458462715,0.019741129130125046,0.01890249364078045,0.01799606718122959,0.017250612378120422,0.016598500311374664,0.015952154994010925,0.015275397337973118,0.014562197960913181
