HandA,HandA_no,HandB,HandB_no,Hand1_Wins,Ties,Hand2_Wins
AAo,0,AKs,1,0.872315883636,0.0125579340383,0.115126170218
AAo,0,AQs,2,0.868384957314,0.01244814042,0.11916692555
AAo,0,AJs,3,0.864453971386,0.0123383468017,0.123207680881
AAo,0,ATs,4,0.860522985458,0.0122285531834,0.127248436213
AAo,0,A9s,5,0.87775593996,0.0131343500689,0.109109714627
AAo,0,A8s,6,0.873824954033,0.0130245564505,0.113150469959
AAo,0,A7s,7,0.873831987381,0.0130245564505,0.113143458962
AAo,0,A6s,8,0.8777769804,0.00908717140555,0.113135866821
AAo,0,A5s,9,0.86055803299,0.0127453999594,0.126696541905
AAo,0,A4s,10,0.864503026009,0.0128551935777,0.122641772032
AAo,0,A3s,11,0.868448019028,0.012964987196,0.118587002158
AAo,0,A2s,12,0.872393012047,0.0130747808143,0.114532232285
AAo,0,KAo,13,0.923726141453,0.0130003197119,0.0632735192776
AAo,0,KKo,14,0.815846741199,0.00446532852948,0.179687947035
AAo,0,KQs,15,0.825267016888,0.00404484244063,0.170688152313
AAo,0,KJs,16,0.821297705173,0.0039348541759,0.174767449498
AAo,0,KTs,17,0.817328393459,0.00382486591116,0.178846746683
AAo,0,K9s,18,0.823256850243,0.00376043049619,0.172982722521
AAo,0,K8s,19,0.835172176361,0.00365044223145,0.161177381873
AAo,0,K7s,20,0.831202864647,0.00354045396671,0.165256679058
AAo,0,K6s,21,0.830950021744,0.00380033766851,0.165249660611
AAo,0,K5s,22,0.833379089832,0.00411784369498,0.16250307858
AAo,0,K4s,23,0.837362408638,0.00422783195972,0.158409759402
AAo,0,K3s,24,0.841345727444,0.00433782022446,0.154316440225
AAo,0,K2s,25,0.845329046249,0.0044478084892,0.150223135948
AAo,0,QAo,26,0.919454991817,0.0128592820838,0.067685700953
AAo,0,QKo,27,0.868115901947,0.00395966088399,0.127924457192
AAo,0,QQo,28,0.812014698982,0.00418290216476,0.18380241096
AAo,0,QJs,29,0.804994702339,0.00384121830575,0.191164076328
AAo,0,QTs,30,0.801025390625,0.00373123004101,0.195243373513
AAo,0,Q9s,31,0.806953847408,0.00366679439321,0.18937933445
AAo,0,Q8s,32,0.818869173527,0.00355680612847,0.177573993802
AAo,0,Q7s,33,0.831209897995,0.00354045396671,0.165249660611
AAo,0,Q6s,34,0.82698071003,0.00369034940377,0.169328972697
AAo,0,Q5s,35,0.829409778118,0.00400785543025,0.166582375765
AAo,0,Q4s,36,0.833393096924,0.00411784369498,0.162489056587
AAo,0,Q3s,37,0.83737641573,0.00422783195972,0.15839573741
AAo,0,Q2s,38,0.841359734535,0.00433782022446,0.154302433133
AAo,0,JAo,39,0.915183842182,0.0127182435244,0.072097890079
AAo,0,JKo,40,0.863822937012,0.00381841417402,0.132358670235
AAo,0,JQo,41,0.846381604671,0.00371337588876,0.14990504086
AAo,0,JJo,42,0.808182656765,0.00390047556721,0.187916859984
AAo,0,JTs,43,0.784722387791,0.00363759393804,0.211639985442
AAo,0,J9s,44,0.790650904179,0.00357315829024,0.20577596128
AAo,0,J8s,45,0.802566230297,0.0034631700255,0.193970620632
AAo,0,J7s,46,0.814906895161,0.00344681786373,0.181646287441
AAo,0,J6s,47,0.826987683773,0.00369034940377,0.16932195425
AAo,0,J5s,48,0.825440466404,0.00389786693268,0.17066167295
AAo,0,J4s,49,0.82942378521,0.00400785543025,0.166568353772
AAo,0,J3s,50,0.833407104015,0.00411784369498,0.162475049496
AAo,0,J2s,51,0.837390422821,0.00422783195972,0.158381730318
AAo,0,TAo,52,0.910912752151,0.0125772058964,0.0765100717545
AAo,0,TKo,53,0.859529972076,0.00367716746405,0.136792883277
AAo,0,TQo,54,0.842088639736,0.00357212941162,0.154339253902
