HandA,HandA_no,HandB,HandB_no,HandA_Wins,Ties,HandB_Wins
AAo,0,AKs,1,0.8723158836364746,0.012557934038341045,0.11512617021799088
AAo,0,AQs,2,0.8683849573135376,0.012448140420019627,0.11916692554950714
AAo,0,AJs,3,0.8644539713859558,0.012338346801698208,0.12320768088102341
AAo,0,ATs,4,0.860522985458374,0.012228553183376789,0.12724843621253967
AAo,0,A9s,5,0.8777559399604797,0.013134350068867207,0.10910971462726593
AAo,0,A8s,6,0.873824954032898,0.013024556450545788,0.1131504699587822
AAo,0,A7s,7,0.8738319873809814,0.013024556450545788,0.11314345896244049
AAo,0,A6s,8,0.8777769804000854,0.009087171405553818,0.11313586682081223
AAo,0,A5s,9,0.860558032989502,0.012745399959385395,0.12669654190540314
AAo,0,A4s,10,0.864503026008606,0.012855193577706814,0.12264177203178406
AAo,0,A3s,11,0.86844801902771,0.012964987196028233,0.11858700215816498
AAo,0,A2s,12,0.872393012046814,0.013074780814349651,0.1145322322845459
AAo,0,KAo,13,0.9237261414527893,0.013000319711863995,0.06327351927757263
AAo,0,KKo,14,0.8158467411994934,0.0044653285294771194,0.17968794703483582
AAo,0,KQs,15,0.8252670168876648,0.004044842440634966,0.17068815231323242
AAo,0,KJs,16,0.8212977051734924,0.0039348541758954525,0.17476744949817657
AAo,0,KTs,17,0.8173283934593201,0.003824865911155939,0.17884674668312073
AAo,0,K9s,18,0.8232568502426147,0.003760430496186018,0.17298272252082825
AAo,0,K8s,19,0.835172176361084,0.0036504422314465046,0.1611773818731308
AAo,0,K7s,20,0.8312028646469116,0.003540453966706991,0.16525667905807495
AAo,0,K6s,21,0.8309500217437744,0.0038003376685082912,0.16524966061115265
AAo,0,K5s,22,0.8333790898323059,0.004117843694984913,0.16250307857990265
AAo,0,K4s,23,0.8373624086380005,0.004227831959724426,0.15840975940227509
AAo,0,K3s,24,0.8413457274436951,0.00433782022446394,0.15431644022464752
AAo,0,K2s,25,0.8453290462493896,0.004447808489203453,0.15022313594818115
AAo,0,QAo,26,0.9194549918174744,0.012859282083809376,0.06768570095300674
AAo,0,QKo,27,0.8681159019470215,0.00395966088399291,0.12792445719242096
AAo,0,QQo,28,0.8120146989822388,0.004182902164757252,0.18380241096019745
AAo,0,QJs,29,0.8049947023391724,0.0038412183057516813,0.1911640763282776
AAo,0,QTs,30,0.801025390625,0.003731230041012168,0.19524337351322174
AAo,0,Q9s,31,0.8069538474082947,0.003666794393211603,0.18937933444976807
AAo,0,Q8s,32,0.8188691735267639,0.0035568061284720898,0.17757399380207062
AAo,0,Q7s,33,0.8312098979949951,0.003540453966706991,0.16524966061115265
AAo,0,Q6s,34,0.826980710029602,0.003690349403768778,0.169328972697258
AAo,0,Q5s,35,0.8294097781181335,0.0040078554302453995,0.1665823757648468
AAo,0,Q4s,36,0.8333930969238281,0.004117843694984913,0.16248905658721924
AAo,0,Q3s,37,0.8373764157295227,0.004227831959724426,0.15839573740959167
AAo,0,Q2s,38,0.8413597345352173,0.00433782022446394,0.1543024331331253
AAo,0,JAo,39,0.9151838421821594,0.012718243524432182,0.07209789007902145
AAo,0,JKo,40,0.8638229370117188,0.0038184141740202904,0.13235867023468018
AAo,0,JQo,41,0.8463816046714783,0.0037133758887648582,0.1499050408601761
AAo,0,JJo,42,0.8081826567649841,0.0039004755672067404,0.1879168599843979
